| Form     | Description                                    | Rules          | HasAmendment |
| N-14MEF  | A new registration statement filed on Form N14 by closed end investment companies filed under Securities Act Rule 462(b) of up to an additional 20% of securities for an offering that was registered on Form N-14 | Rule 462(b) | True |
| N-18F1   | Initial notification of election pursuant to Rule 18f-1 filed on Form N-18F-1 | Rule 18f-1 | True |
| N-1A     | Initial registration statement filed on Form N1A for open-end management investment companies | NA | True |
| N-2      | Initial filing of a registration statement on Form N-2 for closed-end investment companies | NA | True |
| N-2ASR   | Automatic shelf registration statement on Form N-2 for well-known seasoned issuers | NA | True |
| N-2 POSASR| Post-effective amendment to an automatic shelf registration statement on Form N-2 for well-known seasoned issuers | NA | False |
| N-23C-2  | Notice by closed-end investment companies of intention to call or redeem their own securities under Investment Company Act Rule 23c-2 | Rule 23c-2 | True |
| N-23C3A  | Notification of periodic repurchase offer Filed pursuant to Rule 23c-3(b) only | Rule 23c-3(b) | True |
| N-23C3B  | Filing pursuant to Rule 23c-3(c) only on Form N-23C-3 | Rule 23c-3(c) | True |
| N-23C3C  | Filing pursuant to Rule 23c-3(b) and (c) on Form N-23C-3 | Rule 23c-3(b), Rule 23c-3(c) | True |
| N-27D-1  | Accounting for segregated trust accounts on Form N-27D-1 | NA | True |
| N-2MEF   | A new registration statement on Form N-2 filed under Securities Act Rule 462(b) by closed-end investment companies of up to an additional 20% of securities for an offering that was registered on Form N-2 | Rule 462(b) | True |
| N-3      | Initial registration statement on Form N-3 for separate accounts (management investment companies) | NA | True |
| N-30B-2  | Periodic and interim reports mailed to investment company shareholders (other than annual and semi-annual reports mailed to shareholders pursuant to Rule 30e-1) | Rule 30e-1 | True |
| N-30D    | Initial annual and semi-annual reports mailed to investment company shareholders pursuant to Rule 30e-1 (other than those required to be submitted as part of Form NCSR.) | Rule 30e-1 | True |
| N-4      | Initial registration statement on Form N-4 for separate accounts (unit investment trusts) | NA | True |
| N-5      | Registration statement for small business investment companies | NA | True |
| N-54A    | Notification of election by business development companies filed on Form N-54A | NA | True |
| N-54C    | Notification of withdrawal by business development companies filed on Form N-54C | NA | True |
| N-6      | Registration statement for separate accounts (unit investment trusts) | NA | True |
| N-6F     | Notice of intent by business development companies to elect to be subject to Sections 55 through 65 of the 1940 Act filed on Form N-6F | Sections 55 through 65 | True |
| N-8A     | Initial notification of registration under Section 8(a) filed on Form N-8A | Section 8(a) | True |
| N-8B-2   | Initial registration statement for unit investment trusts filed on Form N-8B-2 | NA | True |
| N-8B-3   | Initial registration statement for periodic payment plans filed on Form N-8B-3 | NA | True |
| N-8B-4   | Initial registration statement for face-amount certificate companies filed on Form N-8B-4 | NA | True |
| N-8F     | Application for deregistration made on Form N-8F | NA | True |
| N-CEN    | Annual Report for Registered Investment Companies | NA | True |
| N-CR     | Current Report of Money Market Fund Material Events | NA | True |
| N-CSR    | Certified annual shareholder report of registered management investment companies filed on Form N-CSR | NA | True |
| N-CSRS   | Certified semi-annual shareholder report of registered management investment companies filed on Form N-CSR | NA | True |
| N-MFP2/A | Monthly Schedule of Portfolio Holdings of Money Market Funds on Form N-MFP | NA | True |
| N-MFP3   | Monthly Schedule of Portfolio Holdings of Money Market Funds on Form N-MFP (Effective June 11, 2024) | NA | True |
| NPORT-EX | Portfolio Holdings Exhibit to Form N-PORT | NA | True |
| NPORT-NP | Monthly Portfolio Investments Report on Form N-PORT (Non-Public) | NA | True |
| NPORT-P  | Monthly Portfolio Investments Report on Form N-PORT (Public) | NA | True |
| N-PX     | Annual Report of Proxy Voting Record filed on Form N-PX | NA | True |
| N-PX CTR | Form N-PX Confidential Treatment Request | NA | True |
| N-RN     | Current Report for Registered Management Investment Companies and Business Development Companies | NA | True |
| NRSRO-UPD| Form NRSRO – Update of Registration for Nationally Recognized Statistical Rating Organizations | NA | True |
| NRSRO-CE | Form NRSRO – Annual Certification for Nationally Recognized Statistical Rating Organizations | NA | True |
| NRSRO-FR | Annual Financial/Other Reports for Nationally Recognized Statistical Rating Organizations, as required by Rule 17g-3 (Non-Public) | Rule 17g-3 | True |
| NRSRO-WCLS| Form NRSRO – Withdrawal from Credit Rating Class for Nationally Recognized Statistical Rating Organizations | NA | True |
| NRSRO-WREG| Form NRSRO – Withdrawal from Registration as Nationally Recognized Statistical Rating Organization | NA | True |
| NT 10-K  | Notice under Rule 12b25 of inability to timely file all or part of a Form 10-K, 10-KSB, or 10-KT | Rule 12b25 | True |
| NT 10-D  | Notice under Rule 12b25 of inability to timely file all or part of a Form 10-D | Rule 12b25 | True |
| NT 10-Q  | Notice under Rule 12b25 of inability to timely file all or part of a form 10-Q or 10-QSB | Rule 12b25 | True |
| NT 11-K  | Notice under Rule 12b25 of inability to timely file all or part of a form 11-K | Rule 12b25 | True |
| NT 15D2  | Notice under Rule 12b25 of inability to timely file a special report pursuant to Section 15d-2 | Section 15d-2, Rule 12b25 | True |
| NT 20-F  | Notice under Rule 12b25 of inability to timely file all or part of an annual report of form 20-F | Rule 12b25 | True |
| NT-NCEN  | Notice under Exchange Act Rule 12b-25 of inability to timely file Form N-CEN | Rule 12b-25 | True |
| NT-NCSR  | Notice under Exchange Act Rule 12b-25 of inability to timely file Form N-CSR (annual or semi-annual report) | Rule 12b-25 | True |
| N-VP     | Notice Document for Certain Variable Contracts | NA | True |
| N-VPFS   | Financial Statements for Certain Variable Contracts | NA | True |
| POS 8C   | Post-effective amendment filed under the 1933 Act only or under both the 1933 and 1940 Acts pursuant to Section 8(c) of the 1933 Act by closed-end investment companies (this filing cannot be submitted as a 1940 Act only filing) | Section 8(c) | True |
| POS AM   | Post-effective amendment to a registration statement that is not immediately effective upon filing | NA | True |
| POS AMI  | Post-effective amendment (for filings made under the 1940 Act only) | NA | True |
| POSASR   | Post-effective Amendment to an automatic shelf registration statement on Form S-3ASR or Form F-3ASR | NA | True |
| POS EX   | Post-effective amendment filed solely to add exhibits to a registration statement | NA | True |
| POS462B  | Post-effective amendment to Securities Act Rule 462(b) registration statement | Rule 462(b) | True |
| POS462C  | Post-effective amendment to a registration statement filed under Rule 462(c) | Rule 462(c) | True |
| PRE 14A  | Preliminary proxy statement not related to a contested matter or merger/acquisition | NA | True |
| PRE 14C  | Preliminary information statement not related to a contested matter or merger/acquisition | NA | True |
| PREC14A  | Preliminary proxy statement in connection with contested solicitations | NA | True |
| PREC14C  | Preliminary information statements - contested solicitations | NA | True |
| PREM14A  | Preliminary proxy statement relating to a merger, acquisition, or disposition | NA | True |
| PREM14C  | Preliminary information statements relating to merger or acquisition | NA | True |
| PREN14A  | Preliminary proxy statement filed by non-management | NA | True |
| PRER14A  | Preliminary revised proxy soliciting materials | NA | True |
| PRER14C  | Preliminary revised information statements | NA | True |
| PRRN14A  | Revised preliminary proxy statement filed by non-management | NA | True |
| PX14A6G  | Notice of exempt solicitation | NA | True |
| PX14A6N  | Notice of exempt solicitation for the purpose of determining whether to solicit proxies, consents, or authorizations in opposition to a proposed roll-up transaction filed pursuant to Rule 14a6(g) of the Securities Exchange Act of 1934 | Rule 14a6(g) | True |
| QRTLYRPT | Periodic Development Bank filing, submitted quarterly | NA | True |
| RW       | Registration Withdrawal Request | NA | True |
| RW WD    | Withdrawal of a Registration Withdrawal Request | NA | True |
| S-1      | General form of registration statement for all companies including face-amount certificate companies | NA | True |
| S-11     | Registration statement for securities to be issued by real estate companies | NA | True |
| S-11MEF  | A new registration statement filed under Rule 462(b) to add securities to a prior related effective registration statement filed on Form S-11 | Rule 462(b) | True |
| S-1MEF   | A new registration statement filed under Rule 462(b) to add securities to a prior related effective registration statement filed on Form S-1 | Rule 462(b) | True |
| S-20     | Registration statement for standardized options | NA | True |
| S-3      | Registration statement for specified transactions by certain issuers | NA | True |
| S-3ASR   | Automatic shelf registration statement of securities of well-known seasoned issuers | NA | True |
| S-3D     | Automatically effective registration statement for securities issued pursuant to dividend or interest reinvestment plans | NA | True |
| S-3DPOS  | Post-effective amendment to a S-3D registration statement | NA | False |
| S-3MEF   | A new registration statement filed under Rule 462(b) to add securities to a prior related effective registration statement filed on Form S-3 | Rule 462(b) | True |
| S-4 POS  | Post-effective amendment to a S-4EF registration statement | NA | False |
| S-4      | Registration of securities issued in business combination transactions | NA | True |
| S-4EF    | Auto effective registration statement for securities issued in connection with the formation of a bank or savings and loan holding company in compliance with General Instruction G | NA | True |
| S-4MEF   | A new registration statement filed under Rule 462(b) to add securities to a prior related effective registration statement filed on Form S-4 | Rule 462(b) | True |
| S-6      | Initial registration statement filed on Form S-6 for unit investment trusts | NA | True |
| S-8      | Initial registration statement for securities to be offered to employees pursuant to employee benefit plans | NA | True |
| S-8 POS  | Post-effective amendment to a S-8 registration statement | NA | False |
| S-B      | Registration statement for securities of foreign governments and subdivisions thereof under the Securities Act of 1933 (Schedule B) | NA | True |
| S-BMEF   | A new registration statement filed under Rule 462(b) to add securities to a prior related effective registration statement filed on Form S-B | Rule 462(b) | True |
| SBSE     | Application for Registration of Security-based Swap Dealers and Major Security-based Swap Participants | NA | True |
| SBSE-A   | Application for Registration of Security-based Swap Dealers and Major Security-based Swap Participants that are Registered or Registering with the Commodity Futures Trading Commission as a Swap Dealer or Major Swap Participant | NA | True |
| SBSE-BD  | Application for Registration of Security-based Swap Dealers and Major Security-based Swap Participants that are Registered Broker-dealers | NA | True |
| SBSE-C   | Certifications for Registration of Security-based Swap Dealers and Major Security-based Swap Participants | NA | True |
| SBSE-W   | Request for Withdrawal from Registration as a Security-based Swap Dealer or Major Security-based Swap Participant | NA | True |
| SBSE-DISPUTE NOTICE | Security-Based Swap Entity Valuation Dispute Notice | NA | True |
| SBSE-CCO-RPT | Chief Compliance Officer's Annual Compliance Report of Security-Based Swap Dealer or Major Security-Based Swap Participant pursuant to Rule 15Fk-1 | Rule 15Fk-1 | True |
| SC 13D   | Schedule filed to report acquisition of beneficial ownership of 5% or more of a class of equity securities (HTML/ASCII format) | NA | True |
| SCHEDULE 13D | Schedule filed to report acquisition of beneficial ownership of 5% or more of a class of equity securities (XML format) | NA | True |
| SC 13E1  | Schedule 13-E1 statement of issuer required by Rule 13e-1 | Rule 13e-1 | True |
| SC 13E3  | Schedule filed to report going private transactions | NA | True |
| SC 13G   | Schedule filed to report acquisition of beneficial ownership of 5% or more of a class of equity securities by passive investors and certain institutions (HTML/ASCII format) | NA | True |
| SCHEDULE 13G | Schedule filed to report acquisition of beneficial ownership of 5% or more of a class of equity securities by passive investors and certain institutions (XML format) | NA | True |
| SC 14D9  | Tender offer solicitation/recommendation statements filed under Rule 14d-9 | Rule 14d-9 | True |
| SC 14F1  | Statement regarding change in majority of directors pursuant to Rule 14f-1 | Rule 14f-1 | True |
| SC 14N   | Information filed by certain nominating shareholders (pursuant to Section 240 14n-1) | Section 240 14n-1 | True |
| SC 14N-S | Solicitation in connection with the formation or attempted formation of a Rule 14a-11 nominating shareholder group or solicitation in connection with a Rule 14a-11 nomination | Rule 14a-11 | True |
| SC TO-C  | Written communication relating to an issuer or third party tender offer | NA | True |
| SC TO-I  | Issuer tender offer statement | NA | True |
| SC TO-T  | Third party tender offer statement | NA | True |
| SC13E4F  | Issuer tender offer statement filed pursuant to Rule 13(e)(4) by foreign issuers | Rule 13(e)(4) | True |
| SC14D1F  | Third party tender offer statement filed pursuant to Rule 14d-1(b) by foreign issuers | Rule 14d-1(b) | True |
| SC14D9C  | Written communication by the subject company relating to a third party tender offer | NA | True |
| SC14D9F  | Solicitation/recommendation statement pursuant to Section 14(d)(4) of the Securities Exchange Act of 1934 and Rules 14d-1(b) and 14e-2(c) by foreign issuers | Section 14(d)(4), Rules 14d-1(b), 14e-2(c) | True |
| SD       | Specialized Disclosure Report filed pursuant to Section 1502 of the Dodd-Frank Wall Street Reform and Consumer Protection Act relating to the use of conflict minerals (Rule 13p-1); or to provide an annual report of payments to foreign governments for resource extraction activities (Rule 13q-1) | Section 1502, Rule 13p-1, Rule 13q-1 | True |
| SDR      | Security-based swap data repository registration pursuant to the Securities Exchange Act of 1934. Application for Registration as Security-based Swap Data Repository (SDR), Interim Amendment to Application for Registration as Security-based Swap Data Repository (SDR/A), and Annual Amendment to Application for Registration as Security-based Swap Data Repository (SDR-A) | Securities Exchange Act of 1934 | True |
| SDR-CCO  | Annual Compliance Report and Financial Report for a Security-based Swap Data Repository | NA | True |
| SDR-W    | Application for Withdrawal from Registration as Security-based Swap Data Repository | NA | True |
| SF-1     | General form of registration statement for all issuers of asset-backed securities | NA | True |
