Code,Place,Type
"N1","LIBYAN ARAB JAMAHIRIYA","FOREIGN"
"N2","LIECHTENSTEIN","FOREIGN"
"1Q","LITHUANIA","FOREIGN"
"N4","LUXEMBOURG","FOREIGN"
"N5","MACAU","FOREIGN"
"1U","MACEDONIA THE FORMER YUGOSLAV REPUBLIC OF","FOREIGN"
"N6","MADAGASCAR","FOREIGN"
"N7","MALAWI","FOREIGN"
"N8","MALAYSIA","FOREIGN"
"N9","MALDIVES","FOREIGN"
"O0","MALI","FOREIGN"
"O1","MALTA","FOREIGN"
"1T","MARSHALL ISLANDS","FOREIGN"
"O2","MARTINIQUE","FOREIGN"
"O3","MAURITANIA","FOREIGN"
"O4","MAURITIUS","FOREIGN"
"2P","MAYOTTE","FOREIGN"
"O5","MEXICO","FOREIGN"
"1K","MICRONESIA FEDERATED STATES OF","FOREIGN"
"1S","MOLDOVA REPUBLIC OF","FOREIGN"
"O9","MONACO","FOREIGN"
"P0","MONGOLIA","FOREIGN"
"Z5","MONTENEGRO","FOREIGN"
"P1","MONTSERRAT","FOREIGN"
"P2","MOROCCO","FOREIGN"
"P3","MOZAMBIQUE","FOREIGN"
"E1","MYANMAR","FOREIGN"
"T6","NAMIBIA","FOREIGN"
"P5","NAURU","FOREIGN"
"P6","NEPAL","FOREIGN"
"P7","NETHERLANDS","FOREIGN"
"P8","NETHERLANDS ANTILLES","FOREIGN"
"1W","NEW CALEDONIA","FOREIGN"
"Q2","NEW ZEALAND","FOREIGN"
"Q3","NICARAGUA","FOREIGN"
"Q4","NIGER","FOREIGN"
"Q5","NIGERIA","FOREIGN"
"Q6","NIUE","FOREIGN"
"Q7","NORFOLK ISLAND","FOREIGN"
"1V","NORTHERN MARIANA ISLANDS","US"
"Q8","NORWAY","FOREIGN"
"P4","OMAN","FOREIGN"
"R0","PAKISTAN","FOREIGN"
"1Y","PALAU","FOREIGN"
"1X","PALESTINIAN TERRITORY OCCUPIED","FOREIGN"
"R1","PANAMA","FOREIGN"
"R2","PAPUA NEW GUINEA","FOREIGN"
"R4","PARAGUAY","FOREIGN"
"R5","PERU","FOREIGN"
"R6","PHILIPPINES","FOREIGN"
"R8","PITCAIRN","FOREIGN"
"R9","POLAND","FOREIGN"
"S1","PORTUGAL","FOREIGN"
"S3","QATAR","FOREIGN"
"S4","REUNION","FOREIGN"
"S5","ROMANIA","FOREIGN"
"1Z","RUSSIAN FEDERATION","FOREIGN"
"S6","RWANDA","FOREIGN"
"Z0","SAINT BARTHELEMY","FOREIGN"
"U8","SAINT HELENA","FOREIGN"
"U7","SAINT KITTS AND NEVIS","FOREIGN"
"U9","SAINT LUCIA","FOREIGN"
"Z1","SAINT MARTIN","FOREIGN"
"V0","SAINT PIERRE AND MIQUELON","FOREIGN"
"V1","SAINT VINCENT AND THE GRENADINES","FOREIGN"
"Y0","SAMOA","FOREIGN"
"S8","SAN MARINO","FOREIGN"
"S9","SAO TOME AND PRINCIPE","FOREIGN"
"T0","SAUDI ARABIA","FOREIGN"
"T1","SENEGAL","FOREIGN"
"Z2","SERBIA","FOREIGN"
"T2","SEYCHELLES","FOREIGN"
"T8","SIERRA LEONE","FOREIGN"
"U0","SINGAPORE","FOREIGN"
"2B","SLOVAKIA","FOREIGN"
"2A","SLOVENIA","FOREIGN"
"D7","SOLOMON ISLANDS","FOREIGN"
"U1","SOMALIA","FOREIGN"
"T3","SOUTH AFRICA","FOREIGN"
"1L","SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS","FOREIGN"
"U3","SPAIN","FOREIGN"
"F1","SRI LANKA","FOREIGN"
"V2","SUDAN","FOREIGN"
"V3","SURINAME","FOREIGN"
"L9","SVALBARD AND JAN MAYEN","FOREIGN"
"V6","SWAZILAND","FOREIGN"
"V7","SWEDEN","FOREIGN"
"V8","SWITZERLAND","FOREIGN"
"V9","SYRIAN ARAB REPUBLIC","FOREIGN"
"F5","TAIWAN","FOREIGN"
"2D","TAJIKISTAN","FOREIGN"
"W0","TANZANIA UNITED REPUBLIC OF","FOREIGN"
"W1","THAILAND","FOREIGN"
"Z3","TIMOR-LESTE","FOREIGN"
"W2","TOGO","FOREIGN"
"W3","TOKELAU","FOREIGN"
"W4","TONGA","FOREIGN"
"W5","TRINIDAD AND TOBAGO","FOREIGN"
"W6","TUNISIA","FOREIGN"
"W8","TURKEY","FOREIGN"
"2E","TURKMENISTAN","FOREIGN"
"W7","TURKS AND CAICOS ISLANDS","FOREIGN"
"2G","TUVALU","FOREIGN"
"W9","UGANDA","FOREIGN"
"2H","UKRAINE","FOREIGN"
"C0","UNITED ARAB EMIRATES","FOREIGN"
"X0","UNITED KINGDOM","FOREIGN"
"2J","UNITED STATES MINOR OUTLYING ISLANDS","US"
"X3","URUGUAY","FOREIGN"
"2K","UZBEKISTAN","FOREIGN"
"2L","VANUATU","FOREIGN"
"X5","VENEZUELA","FOREIGN"
"Q1","VIET NAM","FOREIGN"
"D8","VIRGIN ISLANDS BRITISH","FOREIGN"
"X8","WALLIS AND FUTUNA","FOREIGN"
"U5","WESTERN SAHARA","FOREIGN"
"T7","YEMEN","FOREIGN"
"Y4","ZAMBIA","FOREIGN"
"Y5","ZIMBABWE","FOREIGN"
"XX","UNKNOWN","UNKNOWN"
